ug 20 10:29:02 2020    call_gsas.prof

         27734897 function calls (27720644 primitive calls) in 188.165 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   150978    0.484    0.000    0.725    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:112(isComplexType)
    46875    0.317    0.000    0.684    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:107(_makearray)
   103603    0.360    0.000    0.654    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/_asarray.py:14(asarray)
    28114    0.229    0.000    0.632    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/numerictypes.py:360(issubdtype)
310884/310839    0.613    0.000    0.616    0.000 :0(issubclass)
    42171    0.249    0.000    0.583    0.000 <__array_function__ internals>:2(shape)
    14057    0.142    0.000    0.552    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2105(sum)
     2682    0.388    0.000    0.537    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:176(calc_M20)
    42171    0.265    0.000    0.519    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
    28114    0.254    0.000    0.510    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/shape_base.py:24(atleast_1d)
    14057    0.094    0.000    0.486    0.000 <__array_function__ internals>:2(take)
    14057    0.151    0.000    0.477    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/lib/function_base.py:422(asarray_chkfinite)
    89546    0.442    0.000    0.442    0.000 :0(astype)
    28114    0.126    0.000    0.428    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:601(transpose)
    75489    0.267    0.000    0.393    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:125(_realType)
    31106    0.393    0.000    0.393    0.000 :0(sort)
    28152    0.172    0.000    0.376    0.000 <__array_function__ internals>:2(dot)
    50529    0.375    0.000    0.375    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:61(<lambda>)
    14087    0.171    0.000    0.374    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
   115698    0.368    0.000    0.368    0.000 :0(len)
    56228    0.221    0.000    0.358    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/numerictypes.py:286(issubclass_)
     1399    0.022    0.000    0.347    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:52(scaleAbyV)
